NAME1,RA1,DEC1,Z1,NAME2,RA2,DEC2,Z2
J111607.65+412353.2,169.03189,41.398105,0.020843000,J145627.95+021224.7,224.11647,2.2068737,0.028816700
J111607.65+412353.2,169.03189,41.398105,0.020843000,J091431.31+491657.5,138.63047,49.282628,0.029331100
J111607.65+412353.2,169.03189,41.398105,0.020843000,J164106.57+460014.6,250.27736,46.004065,0.017798200
J111607.65+412353.2,169.03189,41.398105,0.020843000,J090838.46+323534.6,137.16024,32.592954,0.014296600
J114530.26+094344.8,176.37607,9.7291000,0.021371000,J132505.37-005411.2,201.27236,-0.90310404,0.018078800
J114530.26+094344.8,176.37607,9.7291000,0.021371000,J131038.58+611623.6,197.66075,61.273235,0.031332200
J114530.26+094344.8,176.37607,9.7291000,0.021371000,J121626.72+105342.4,184.11133,10.895111,0.024611200
J114530.26+094344.8,176.37607,9.7291000,0.021371000,J102813.91+590602.3,157.05795,59.100646,0.031302800
J114530.26+094344.8,176.37607,9.7291000,0.021371000,J004436.94-094600.4,11.153903,-9.7667884,0.029857800
J132428.24+044629.6,201.11768,4.7748890,0.021430000,J085333.60+394537.3,133.39002,39.760373,0.023416000
J132428.24+044629.6,201.11768,4.7748890,0.021430000,J161433.82+414240.5,243.64091,41.711243,0.026414300
J132428.24+044629.6,201.11768,4.7748890,0.021430000,J085837.31+515242.6,134.65545,51.878488,0.012736400
J132428.24+044629.6,201.11768,4.7748890,0.021430000,J102332.53+460328.0,155.88556,46.057770,0.025765200
J132428.24+044629.6,201.11768,4.7748890,0.021430000,J085949.05+050339.1,134.95437,5.0608525,0.012519200
J082510.23+375919.8,126.29263,37.988820,0.021431000,J080547.35+225434.9,121.44728,22.909688,0.030256000
J082510.23+375919.8,126.29263,37.988820,0.021431000,J023310.79-074813.4,38.294963,-7.8037217,0.030938000
J082510.23+375919.8,126.29263,37.988820,0.021431000,J073715.73+313110.9,114.31555,31.519703,0.026799500
J082510.23+375919.8,126.29263,37.988820,0.021431000,J111835.82+002511.2,169.64924,0.41976742,0.025076800
J082510.23+375919.8,126.29263,37.988820,0.021431000,J081006.07+245519.5,122.52528,24.922096,0.014041200
J093812.26+074340.1,144.55110,7.7277920,0.021895000,J082854.33+343906.0,127.22636,34.651656,0.020921900
J093812.26+074340.1,144.55110,7.7277920,0.021895000,J094814.71+574444.5,147.06130,57.745681,0.029719200
J093812.26+074340.1,144.55110,7.7277920,0.021895000,J113446.25+025515.7,173.69272,2.9210337,0.028664300
J093812.26+074340.1,144.55110,7.7277920,0.021895000,J093917.26+363343.9,144.82191,36.562197,0.019716500
J093812.26+074340.1,144.55110,7.7277920,0.021895000,J111038.86+034519.6,167.66192,3.7554482,0.025452500
J133815.87+043233.3,204.56613,4.5425930,0.022975000,J220316.00+003415.9,330.81665,0.57108500,0.030142200
J133815.87+043233.3,204.56613,4.5425930,0.022975000,J104000.58+390720.0,160.00240,39.122224,0.030804700
J133815.87+043233.3,204.56613,4.5425930,0.022975000,J141451.35+030751.3,213.71395,3.1309260,0.025333600
J133815.87+043233.3,204.56613,4.5425930,0.022975000,J144545.12+513450.9,221.43798,51.580815,0.029807100
J133815.87+043233.3,204.56613,4.5425930,0.022975000,J172717.39+582907.7,261.82245,58.485471,0.027224300
J100207.04+030327.7,150.52933,3.0576860,0.023176000,J034545.16-071526.9,56.438184,-7.2574630,0.021655100
J100207.04+030327.7,150.52933,3.0576860,0.023176000,J074953.38+451454.6,117.47240,45.248489,0.031253100
J100207.04+030327.7,150.52933,3.0576860,0.023176000,J094511.97-000712.1,146.29988,-0.12001413,0.030654800
J100207.04+030327.7,150.52933,3.0576860,0.023176000,J080328.07+250609.6,120.86694,25.102666,0.027570300
J100207.04+030327.7,150.52933,3.0576860,0.023176000,J005329.92-084604.0,13.374656,-8.7677882,0.019029000
J121754.98+583935.7,184.47907,58.659912,0.023253000,J080547.35+225434.9,121.44728,22.909688,0.030256000
J121754.98+583935.7,184.47907,58.659912,0.023253000,J023310.79-074813.4,38.294963,-7.8037217,0.030938000
J121754.98+583935.7,184.47907,58.659912,0.023253000,J213206.88+110637.0,323.02865,11.110274,0.031565500
J121754.98+583935.7,184.47907,58.659912,0.023253000,J104833.59+475914.7,162.13996,47.987413,0.033214400
J121754.98+583935.7,184.47907,58.659912,0.023253000,J111835.82+002511.2,169.64924,0.41976742,0.025076800
J080740.99+390015.3,121.92081,39.004246,0.023496000,J134640.80+522836.6,206.66998,52.476826,0.029230700
J080740.99+390015.3,121.92081,39.004246,0.023496000,J005329.92-084604.0,13.374656,-8.7677882,0.019029000
J080740.99+390015.3,121.92081,39.004246,0.023496000,J085828.60+000124.5,134.61916,0.023468147,0.028551900
J080740.99+390015.3,121.92081,39.004246,0.023496000,J005940.11+151951.5,14.917142,15.330978,0.018241300
J080740.99+390015.3,121.92081,39.004246,0.023496000,J034545.16-071526.9,56.438184,-7.2574630,0.021655100
J122324.14+024044.4,185.85057,2.6790110,0.023579000,J123804.16+482042.3,189.51734,48.345096,0.030505500
J122324.14+024044.4,185.85057,2.6790110,0.023579000,J093917.26+363343.9,144.82191,36.562197,0.019716500
J122324.14+024044.4,185.85057,2.6790110,0.023579000,J113446.25+025515.7,173.69272,2.9210337,0.028664300
J122324.14+024044.4,185.85057,2.6790110,0.023579000,J135857.98+614050.6,209.74158,61.680726,0.029932100
J122324.14+024044.4,185.85057,2.6790110,0.023579000,J143143.18-021248.8,217.92991,-2.2135634,0.029511700
J130620.97+531823.2,196.58738,53.306444,0.023679000,J131835.67+140248.5,199.64862,14.046799,0.028492400
J130620.97+531823.2,196.58738,53.306444,0.023679000,J133023.78+022058.6,202.59909,2.3496142,0.032011900
J130620.97+531823.2,196.58738,53.306444,0.023679000,J170622.22+212422.2,256.59260,21.406173,0.030922200
J130620.97+531823.2,196.58738,53.306444,0.023679000,J143445.75+005319.1,218.69062,0.88865091,0.014094300
J130620.97+531823.2,196.58738,53.306444,0.023679000,J110442.28+405732.1,166.17615,40.958914,0.033087100
J134632.13+642325.2,206.63389,64.390328,0.024094000,J104833.59+475914.7,162.13996,47.987413,0.033214400
J134632.13+642325.2,206.63389,64.390328,0.024094000,J082403.67+515415.7,126.01531,51.904355,0.031313400
J134632.13+642325.2,206.63389,64.390328,0.024094000,J082443.29+295923.6,126.18036,29.989878,0.025324800
J134632.13+642325.2,206.63389,64.390328,0.024094000,J023310.79-074813.4,38.294963,-7.8037217,0.030938000
J134632.13+642325.2,206.63389,64.390328,0.024094000,J111835.82+002511.2,169.64924,0.41976742,0.025076800
J115341.78+461242.3,178.42407,46.211737,0.024415000,J093917.26+363343.9,144.82191,36.562197,0.019716500
J115341.78+461242.3,178.42407,46.211737,0.024415000,J113446.25+025515.7,173.69272,2.9210337,0.028664300
