NAME1,RA1,DEC1,Z1,PR1,G1,M1,NAME2,RA2,DEC2,Z2,PR2,G2,M2
J083732.70+284218.7,129.38627,28.705196,0.011585,93.0,0.562566973179,0.0138346270233,J231221.42+143633.8,348.08923,14.609381,0.0162342,79.0,0.603640213777,0.0105893134071
J083732.70+284218.7,129.38627,28.705196,0.011585,93.0,0.562566973179,0.0138346270233,J130850.11-004902.3,197.2088,-0.81730439,0.0179684,75.0,0.588984562861,0.0115115998838
J083732.70+284218.7,129.38627,28.705196,0.011585,93.0,0.562566973179,0.0138346270233,J034240.10-062254.6,55.667104,-6.3818355,0.0211967,40.0,0.644219428261,0.0216378546238
J083732.70+284218.7,129.38627,28.705196,0.011585,93.0,0.562566973179,0.0138346270233,J120003.17+081054.2,180.0132,8.1817218,0.0204227,72.0,0.579445833263,0.00817198671614
J083732.70+284218.7,129.38627,28.705196,0.011585,93.0,0.562566973179,0.0138346270233,J033733.38-063113.6,54.389098,-6.5204569,0.0179105,40.0,0.665320093983,0.0142036347112
J033013.26-053236.1,52.555265,-5.54335,0.013147,57.0,0.597108286637,0.0142176838688,J010709.16-003718.1,16.788159,-0.62170676,0.0177396,97.0,0.564131682763,0.00836786612421
J033013.26-053236.1,52.555265,-5.54335,0.013147,57.0,0.597108286637,0.0142176838688,J100811.56+422507.2,152.04818,42.41868,0.0231346,35.0,0.548498794233,0.0177498617022
J033013.26-053236.1,52.555265,-5.54335,0.013147,57.0,0.597108286637,0.0142176838688,J231644.67+132858.8,349.18614,13.483008,0.0157717,74.0,0.561706372547,0.00626073091872
J033013.26-053236.1,52.555265,-5.54335,0.013147,57.0,0.597108286637,0.0142176838688,J133305.34-010208.9,203.27226,-1.035819,0.0123821,49.0,0.639498096633,0.0101472365901
J033013.26-053236.1,52.555265,-5.54335,0.013147,57.0,0.597108286637,0.0142176838688,J135429.16+541950.4,208.6215,54.330661,0.0153381,50.0,0.635854088717,0.0156960394208
J094529.37+093610.4,146.37237,9.602897,0.013277,24.0,0.666329640925,0.0313580590999,J100213.84+114120.5,150.55768,11.689017,0.0219842,28.0,0.563674292819,0.0224443356423
J094529.37+093610.4,146.37237,9.602897,0.013277,24.0,0.666329640925,0.0313580590999,J111353.24+044806.2,168.47183,4.801718,0.0205503,19.0,0.630818675649,0.0449723719557
J094529.37+093610.4,146.37237,9.602897,0.013277,24.0,0.666329640925,0.0313580590999,J085618.72-002629.4,134.07802,-0.44150027,0.0127967,24.0,0.670069821443,0.0340285044847
J094529.37+093610.4,146.37237,9.602897,0.013277,24.0,0.666329640925,0.0313580590999,J152645.10+334059.8,231.6879,33.683281,0.0149069,19.0,0.681776209659,0.0408527924834
J094529.37+093610.4,146.37237,9.602897,0.013277,24.0,0.666329640925,0.0313580590999,J012529.13-000326.3,21.371383,-0.057311275,0.0210069,17.0,0.694502102944,0.0382482692378
J155252.84+403848.2,238.22016,40.646728,0.015107,73.0,0.45377855881,0.0194095488703,J135314.12+002650.2,208.30882,0.44727438,0.0244875,18.0,0.689892215225,0.0381298460793
J155252.84+403848.2,238.22016,40.646728,0.015107,73.0,0.45377855881,0.0194095488703,J121808.09+060822.3,184.53372,6.1395386,0.018479,38.0,0.683909978412,0.0190824764991
J155252.84+403848.2,238.22016,40.646728,0.015107,73.0,0.45377855881,0.0194095488703,J092639.80+455049.9,141.66584,45.847185,0.01436,39.0,0.651292803913,0.0179576352127
J155252.84+403848.2,238.22016,40.646728,0.015107,73.0,0.45377855881,0.0194095488703,J113252.56+433053.9,173.21901,43.514963,0.0243026,22.0,0.683298059854,0.059764618806
J155252.84+403848.2,238.22016,40.646728,0.015107,73.0,0.45377855881,0.0194095488703,J153838.50+365730.1,234.66042,36.958355,0.0186078,28.0,0.683802984132,0.0255346567857
J080538.66+261005.5,121.4111,26.16819,0.016953,72.0,0.511458111275,0.0244503009084,J232327.04+141933.1,350.86267,14.325857,0.0256283,40.0,0.627670527768,0.0155987741806
J080538.66+261005.5,121.4111,26.16819,0.016953,72.0,0.511458111275,0.0244503009084,J100431.83+380021.7,151.13262,38.006039,0.023162,44.0,0.633948652539,0.016089242624
J080538.66+261005.5,121.4111,26.16819,0.016953,72.0,0.511458111275,0.0244503009084,J083726.59+400208.1,129.36079,40.035587,0.0237193,29.0,0.663945199987,0.02482287195
J080538.66+261005.5,121.4111,26.16819,0.016953,72.0,0.511458111275,0.0244503009084,J130850.11-004902.3,197.2088,-0.81730439,0.0179684,75.0,0.588984562861,0.0115115998838
J080538.66+261005.5,121.4111,26.16819,0.016953,72.0,0.511458111275,0.0244503009084,J034240.10-062254.6,55.667104,-6.3818355,0.0211967,40.0,0.644219428261,0.0216378546238
J110233.29-001727.6,165.6387,-0.29101,0.017294,41.0,0.639428072193,0.0179092082206,J101006.19+120214.3,152.52578,12.037308,0.0182782,26.0,0.690383902043,0.0598255965649
J110233.29-001727.6,165.6387,-0.29101,0.017294,41.0,0.639428072193,0.0179092082206,J085038.82+301031.2,132.66174,30.17534,0.0266193,22.0,0.677306684587,0.0563096221853
J110233.29-001727.6,165.6387,-0.29101,0.017294,41.0,0.639428072193,0.0179092082206,J134250.16+471513.9,205.70898,47.253863,0.024991,15.0,0.591694062014,0.0397286997214
J110233.29-001727.6,165.6387,-0.29101,0.017294,41.0,0.639428072193,0.0179092082206,J121326.84-000548.1,183.36183,-0.096700057,0.0209706,24.0,0.569419935451,0.0408469768798
J110233.29-001727.6,165.6387,-0.29101,0.017294,41.0,0.639428072193,0.0179092082206,J094636.06+081034.8,146.65025,8.1763302,0.0258543,16.0,0.652365335195,0.0522919725799
J033458.00-054853.3,53.74168,-5.814796,0.018324,17.0,0.648511672793,0.046209073382,J113148.60+005147.7,172.95252,0.86325195,0.0253608,28.0,0.518023982149,0.0384092640893
J033458.00-054853.3,53.74168,-5.814796,0.018324,17.0,0.648511672793,0.046209073382,J134858.52+033120.9,207.24385,3.5224822,0.0242846,29.0,0.687169935816,0.0390564070863
J033458.00-054853.3,53.74168,-5.814796,0.018324,17.0,0.648511672793,0.046209073382,J091835.38+495042.5,139.64741,49.845151,0.027837,19.0,0.55790314234,0.0543731648064
J033458.00-054853.3,53.74168,-5.814796,0.018324,17.0,0.648511672793,0.046209073382,J233813.30+143153.0,354.5554,14.531387,0.0231258,15.0,0.658991853692,0.0598967311143
J033458.00-054853.3,53.74168,-5.814796,0.018324,17.0,0.648511672793,0.046209073382,J094636.06+081034.8,146.65025,8.1763302,0.0258543,16.0,0.652365335195,0.0522919725799
J011059.31+002601.1,17.747137,0.433651,0.018843,15.0,0.683374753027,0.0515549079069,J110338.36-005208.4,165.90984,-0.86900692,0.0286088,29.0,0.677824093101,0.0979777746211
